name,born,height,weight,position,games_played,goals,assists,plus_minus,penalty_minutes,salary
Derick Brassard,1987,73,204,C,81,14,25,12,24,$5'000'000.00
Justin Braun,1987,74,205,D,81,4,9,1,28,$3'800'000.00
T.J. Brodie,1990,73,182,D,82,6,30,-16,24,$4'838'000.00
Jonas Brodin,1993,73,193,D,68,3,22,5,20,$4'000'000.00
Kyle Brodziak,1984,74,212,C,69,8,7,2,27,$1'000'000.00
Jonny Brodzinski,1993,73,218,C,6,0,2,2,2,$925'000.00
Troy Brouwer,1985,75,215,RW,74,13,12,-11,31,$4'500'000.00
Connor Brown,1994,72,185,RW,82,20,16,3,10,$650'000.00
Dustin Brown,1984,72,216,RW,80,14,22,-4,22,$7'000'000.00
J.T. Brown,1990,70,169,RW,64,3,3,-7,73,$1'250'000.00
Patrick Brown,1992,73,210,C,14,0,0,-6,0,$650'000.00
Pavel Buchnevich,1995,74,193,RW,41,8,12,6,13,$925'000.00
Andre Burakovsky,1995,75,205,LW,64,12,23,13,14,$832'500.00
Erik Burgdoerfer,1988,73,207,D,2,0,0,-1,0,$575'000.00
Alex Burmistrov,1991,73,180,C,49,5,11,-7,12,$1'600'000.00
Brent Burns,1985,77,230,D,82,29,47,19,40,$5'760'000.00
Alex Burrows,1981,73,197,LW,75,15,16,3,62,$3'000'000.00
Chris Butler,1986,73,196,D,1,0,0,0,0,$600'000.00
Dustin Byfuglien,1985,77,260,D,80,13,39,10,117,$8'000'000.00
Paul Byron,1989,69,160,LW,81,22,21,21,29,$1'300'000.00
Drake Caggiula,1994,70,185,LW,60,7,11,3,16,$925'000.00
Mitch Callahan,1991,72,190,RW,4,0,0,0,0,$600'000.00
Ryan Callahan,1985,70,187,RW,18,2,2,-4,23,$6'500'000.00
Matt Calvert,1989,71,188,LW,65,10,5,-4,48,$2'200'000.00
Mike Cammalleri,1982,69,185,LW,61,10,21,-9,21,$5'000'000.00
Brian Campbell,1979,70,192,D,80,5,12,12,24,$1'500'000.00
Patrick Cannone,1986,71,197,C,3,0,0,0,0,$600'000.00
Paul Carey,1988,73,198,C,6,0,0,-2,0,$575'000.00
Matt Carle,1984,72,197,D,6,0,1,-1,0,
Brandon Carlo,1996,77,203,D,82,6,10,9,59,$717'500.00
John Carlson,1990,75,215,D,72,9,28,7,10,$4'000'000.00
Gabriel Carlsson,1997,76,191,D,2,0,1,-2,0,$925'000.00
Ryan Carpenter,1991,72,195,C,11,2,2,5,4,$600'000.00
Daniel Carr,1991,72,188,LW,33,2,7,4,6,$725'000.00
Connor Carrick,1994,71,195,D,67,2,6,8,51,$650'000.00
Alex Carrier,1996,71,174,D,2,0,0,1,0,$640'000.00
William Carrier,1994,74,212,LW,41,5,3,-1,21,$650'000.00
Jeff Carter,1985,75,217,C,82,32,34,2,41,$7'000'000.00
Cody Ceci,1993,74,207,D,79,2,15,-11,20,$2'250'000.00
Peter Cehlarik,1995,74,202,LW,11,0,2,0,0,$692'500.00
Thomas Chabot,1997,74,190,D,1,0,0,-2,0,$925'000.00
Michael Chaput,1992,74,204,C,68,4,5,-12,29,$600'000.00
Zdeno Chara,1977,81,250,D,75,9,19,18,59,$5'000'000.00
Ben Chiarot,1991,75,219,D,59,2,10,2,33,$850'000.00
Alex Chiasson,1990,76,208,RW,81,12,12,-6,46,$800'000.00
Jason Chimera,1979,75,216,LW,82,20,13,1,40,$2'000'000.00
Taylor Chorney,1987,72,191,D,18,1,4,8,11,$775'000.00
Jakob Chychrun,1998,75,200,D,68,7,13,-14,47,$925'000.00
Casey Cizikas,1991,71,201,C,59,8,17,9,30,$2'500'000.00
Fredrik Claesson,1992,73,200,D,33,3,8,5,4,$700'000.00
Adam Clendening,1992,72,196,D,31,2,9,3,17,$600'000.00
Kyle Clifford,1991,74,211,LW,73,6,6,-2,92,$1'250'000.00
Cal Clutterbuck,1987,71,218,RW,66,5,15,2,28,$3'500'000.00
Braydon Coburn,1985,77,223,D,80,5,7,-1,50,$3'700'000.00
Andrew Cogliano,1987,70,184,LW,82,16,19,11,26,$3'100'000.00
Joe Colborne,1990,77,221,C,62,4,4,-21,34,$2'500'000.00
Ian Cole,1989,73,219,D,81,5,21,26,72,$2'300'000.00
Blake Coleman,1991,71,200,C,23,1,1,-7,27,$692'500.00
Blake Comeau,1986,73,202,LW,77,8,12,-19,58,$2'400'000.00
J.T. Compher,1995,72,193,LW,21,3,2,0,4,$925'000.00
Cory Conacher,1989,68,180,C,11,1,3,0,4,$575'000.00
Erik Condra,1986,71,188,RW,13,0,0,-4,4,$1'250'000.00
Kevin Connauton,1990,74,205,D,24,0,1,-1,24,$950'000.00
Brett Connolly,1992,75,194,RW,66,15,8,20,40,$850'000.00
Kyle Connor,1996,73,182,LW,20,2,3,-7,4,$925'000.00
Andrew Copp,1994,73,206,C,64,9,8,8,18,$925'000.00
Frank Corrado,1993,72,205,D,4,0,0,-1,8,$600'000.00
Nick Cousins,1993,70,188,C,60,6,10,-6,31,$840'000.00
Logan Couture,1989,73,200,C,73,25,27,11,12,$6'000'000.00
Sean Couturier,1992,75,211,C,66,14,20,12,33,$3'750'000.00
Charlie Coyle,1992,75,221,C,82,18,38,13,36,$2'600'000.00
Adam Cracknell,1985,75,220,RW,69,10,6,9,12,$600'000.00
